wiki_name,parkCode,title,category,description,lastIndexedDate,url
Isle Royale,isro,Visitor Centers are Closed for the Season,Park Closure,"All park visitor centers have closed for the season. This includes the Houghton, Rock Harbor, & Windigo Visitor Centers. For trip planning assistance, contact the park at (906) 482-0984.",2024-11-20 15:18:01.0,https://www.nps.gov/isro/planyourvisit/hours.htm
Isle Royale,isro,New Food Storage Guidelines to Reduce Human - Wildlife Interactions,Caution,"In response to wolves accessing human food and garbage in and around Rock Harbor and campgrounds located on the east end of the island, new food storage guidelines to ensure the safety of visitors and wildlife are in effect.",2024-07-14 08:25:12.0,
Joshua Tree,jotr,West Entrance Closure Starting April 7,Park Closure,The west entrance of Joshua Tree National Park will be closed to all vehicle traffic beginning 6 a.m. Monday April 7 through 6 p.m. Thursday April 10. Park Boulevard will be closed to traffic for six miles from the west entrance to Quail Springs,2025-03-31 11:53:48.0,
Joshua Tree,jotr,Cholla Cactus Garden Closure,Park Closure,Cholla Cactus Garden Trail will be closed daily from December 2024 - April 2025 to improve the conditions of the loop trail.,2025-02-18 13:48:16.0,
Joshua Tree,jotr,Inaccurate Third-Party Apps,Caution,Some third-party hiking apps are providing inaccurate trail and safety information to users. Please use the official NPS app for accurate information.,2024-03-11 16:20:08.0,https://www.nps.gov/subjects/digital/nps-apps.htm
Kenai Fjords,kefj,Road to Exit Glacier Closed to Automobiles,Information,"The Alaska Department of Transportation has closed Herman Leirer Road for winter. Therefore, the road to Exit Glacier under the National Park Service is closed as well. Reopening is typically in mid to late-May, with variation due snow and weather.",2024-10-21 17:06:57.0,
Kenai Fjords,kefj,Use Caution in and around Pedersen Lagoon,Caution,"On August 7, 2024, a landslide triggered tsunami washed over portions of Pedersen Lagoon near Aialik Bay (59.8842N, -149.7309W). We recommend caution for those visiting the area in and around Pedersen Lagoon. Click more for additional information.",2024-08-22 16:25:35.0,https://www.usgs.gov/programs/landslide-hazards/science/2024-pedersen-lagoon-landslide-generated-tsunami
Kenai Fjords,kefj,Canyon from Toe of Exit Glacier to the Outwash Plain,Danger,"The canyon from the toe of Exit Glacier to where Exit Creek opens into the Outwash Plain is susceptible to sudden outburst flood events. These events produce sudden surges of water, ice and rock. The canyon is dangerous and travel is not recommended.",2024-06-22 13:27:28.0,https://www.nps.gov/kefj/planyourvisit/conditions.htm#EG-Canyon-Closure
Kenai Fjords,kefj,"Toe of Exit Glacier, Ice Fall Hazard Zone",Park Closure,"An ice fall hazard zone has been identified at the toe and sides of Exit Glacier, due to tall blocks and slabs of ice. For your safety, entry into this zone is prohibited. Please do not continue past ice fall hazard signs and see photo for more details.",2024-06-22 13:24:32.0,https://www.nps.gov/kefj/planyourvisit/conditions.htm#Icefall_hazard
Kings Canyon,seki,Several Small Roads Closed Due to Roadway Damage Or Snow Accumulation,Park Closure,"These roads are closed due to roadway damage during past storm events or due to snow accumulation: Crystal Cave Rd, Middle Fork Rd, Redwood Canyon Rd, South Fork Rd, Panoramic Point Rd, lower parking lot at Giant Forest Museum",2025-03-28 16:32:19.0,https://www.nps.gov/seki/planyourvisit/road-conditions.htm
Kings Canyon,seki,Crescent Meadow Road and Moro Rock Loop Road Closed For the Season,Park Closure,"The roads are closed to vehicle traffic for the winter season, but will remain open to winter recreation such as hiking, snowshoeing, and cross-country skiing. Roads will reopen once they have been cleared and made safe for vehicles.",2025-03-27 19:41:24.0,
Kings Canyon,seki,Kings Canyon Visitor Center in Grant Grove Is Closed On Tuesdays Until Further Notice,Park Closure,We regret any inconvenience.,2025-03-27 17:29:54.0,https://www.nps.gov/seki/planyourvisit/visitorcenters.htm
Kings Canyon,seki,Highway 180 Access To Cedar Grove Area of Kings Canyon National Park Closed For the Season,Park Closure,Highway 180 is closed east of Hume Lake Road for the winter season. Cedar Grove is not accessible. This section of road typically reopens in late April.,2024-11-12 14:39:34.0,
Kings Canyon,seki,Mineral King Road Is Closed For the Season,Park Closure,"The portion of Mineral King Road inside Sequoia National Park is closed for the winter season to the general public. The road typically reopens in May on the Wednesday before Memorial Day, but could be later depending on conditions.",2024-10-31 14:06:50.0,
Kings Canyon,seki,Tire Chain Restrictions in Effect,Caution,"Chain restrictions are in effect on some park roads. All vehicles must carry chains or cables, including 4WD and AWD vehicles. Install chains when required. For current road information, call (559) 565-3341, (press 1, then 1)",2024-04-04 11:39:42.0,https://www.nps.gov/seki/planyourvisit/winter_driving.htm
Lassen Volcanic,lavo,11/12/2024 - Lassen National Park Highway Closed,Park Closure,The main park road (Hwy 89) is closed at Kohm Yah-mah-nee Visitor Center (southwest entrance) and Loomis Plaza/Manzanita Lake (northwest entrance) for the snow season. Please use caution if driving to the park and check weather forecasts:,2024-12-14 12:23:13.0,https://www.nps.gov/lavo/planyourvisit/weather.htm
Lassen Volcanic,lavo,Bumpass Hell Trail Closed For Season,Park Closure,"11/12/2024 - Due to recent snowfall, the Bumpass Hell Trail has closed for the season. This is an annual closure to prevent injury from treacherous trail conditions near hydrothermal areas.",2024-11-12 13:45:12.0,
Lassen Volcanic,lavo,Visitor Phone Line Intermittent,Information,You may experience problems reaching park staff via the main visitor phone line which functions intermittently. You may email the park at lavo_information@nps.gov with general park questions.,2024-10-04 19:23:25.0,
Lassen Volcanic,lavo,Lasting Effects from 2021 Dixie Fire,Caution,"Some facilities, infrastructure, and areas remain closed; please adhere to all closure signs. In re-opened areas, hazards like fallen trees, loose/falling rock, undefined trails, and hidden stump holes exist. Click more to learn about burned area safety.",2024-08-26 14:22:22.0,https://www.nps.gov/lavo/planyourvisit/burned-area-safety.htm
Lassen Volcanic,lavo,Wilderness Permits Now Only Available Online,Information,Wilderness permits for backcountry camping can no longer be obtained in person or by mail. Wilderness permits are only available online through Recreation.gov. Permits can be reserved up to a maximum of 90 days prior to the start date.,2023-06-20 15:41:06.0,https://www.nps.gov/lavo/planyourvisit/wilderness-permit-information.htm
Mammoth Cave,maca,Green River Ferry Status,Information,The Green River Ferry status can change without advanced warning. For the most up-to-date ferry status information call 270-758-2166 or follow the Mammoth Cave Roads and Ferry Twitter/X feed: @MCNPRoadsFerry,2025-03-25 15:44:48.0,https://twitter.com/MCNPRoadsFerry
Mount Rainier,mora,Paradise Road Status: Weekly road closure Tuesday-Thursday,Park Closure,"03/31/2025 The Paradise Road is open to Longmire. All vehicles, including 4WD and AWD, must carry tire chains and be ready to use them. The road is projected to re-open Friday 04/04 at 9:00 AM but is subject to change, check back for updates.",2025-03-31 19:23:48.0,https://www.nps.gov/mora/planyourvisit/winter-travel.htm
Mount Rainier,mora,No decisions have been made if timed entry reservations will be required for the 2025 summer season.,Information,"Currently, timed entry reservations are NOT required to enter any part of Mount Rainier National Park (last updated 3/18/25). All visitors are still required to pay the park entrance fee or use an interagency or park pass.",2025-03-18 12:09:43.0,
Mount Rainier,mora,Many park roads are closed for the winter season.,Park Closure,"Many park roads are closed for the winter season, including White River, Sunrise, Mowich Lake, Stevens Canyon, Westside Road, and SR410/123.",2025-02-05 13:40:20.0,https://www.nps.gov/mora/planyourvisit/road-status.htm
Mount Rainier,mora,Always check signs on closed road gates before recreating; roads closed to all use if work underway.,Caution,"Closed roads may be open to non-motorized vehicles like bicycles. CHECK SIGNS on closed road gates before proceeding. During snow plowing operations or when otherwise posted, park roads are closed to all use, including hiking, bicycling, skiing, etc.",2024-07-15 14:40:46.0,https://www.nps.gov/mora/planyourvisit/bicycling-safety-regulations.htm
Mount Rainier,mora,All vehicles are required to carry tire chains Nov 1 - May 1 when traveling in the park.,Caution,"All vehicles, including 4WD and AWD vehicles, must carry tire chains in the park during the winter season (November 1 - May 1) and be prepared to use them when tire chain requirements are posted.",2023-10-30 13:03:57.0,https://www.nps.gov/mora/planyourvisit/tire-chain-faq.htm
New River Gorge,neri,Cunard Road delays,Information,"Cunard Road has been reopened. There is a section of one lane road with a traffic light. Through Memorial Day, expect delays of 3 to 5 minutes to get by this area.",2025-03-25 13:56:46.0,https://www.nps.gov/neri/learn/news/winter-closure-of-new-river-gorge-npp-s-cunard-road-for-improvements.htm
North Cascades,noca,Temporary Closures for Peregrine Nesting,Park Closure,"The following established climbing management areas are closed to all public use from March 1, 2025 to July 15, 2025 to protect peregrine falcon nesting aeries: Newhalem Crag East and Newhalem Crag West (Ryan’s Wall).",2025-02-27 18:42:59.0,
North Cascades,noca,Hozomeen Gate Remains Closed,Park Closure,"Until further notice, the gate at Hozomeen will remain closed; vehicle and foot traffic across the US/Canada border is prohibited. Visitors must enter through a designated port of entry.",2025-02-13 10:43:22.0,https://www.nps.gov/noca/planyourvisit/hozomeen.htm
North Cascades,noca,State Route 20 Closed for the Season,Park Closure,"State Route 20 is closed at milepost 134 (Ross Dam Trailhead) for the season due to heavy snowfall and risk of avalanche danger. Check the WSDOT real time map for up-to-date information, https://wsdot.com/Travel/Real-time/Map/.",2024-11-18 12:39:45.0,https://www.nps.gov/noca/planyourvisit/winter-safety.htm
North Cascades,noca,Cascade River Road Seasonal Closure,Park Closure,Cascade River Road is closed for the season at Eldorado (milepost 20). Check the road conditions page for more information.,2024-11-06 12:18:31.0,https://www.nps.gov/noca/planyourvisit/road-conditions.htm
North Cascades,noca,"Fire Closures - Trail, Area, and Camp Closures",Park Closure,"For closures due to fire activity visit the Fire Closures page, including trail, area, and camp closures for current and post fire conditions.",2023-07-29 14:17:58.0,https://www.nps.gov/noca/planyourvisit/fire-closures.htm
North Cascades,noca,Diablo Lake Boat Launch Inaccessible to Powerboats,Caution,"Due to silt accumulation, the Diablo Lake boat launch at Colonial Creek South Campground is not usable for launching most powerboats. Expect shallow or no water at the launch ramp and the possibility of needing to carry your boat to or from the water.",2023-03-30 18:30:13.0,https://www.nps.gov/noca/planyourvisit/lake-and-river-conditions.htm
North Cascades,noca,Be Aware of Break-ins along State Route 20,Caution,Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.,2015-05-21 11:19:27.0,
Olympic,olym,Hurricane Ridge Road Status,Park Closure,"Hurricane Ridge Road is closed. During the period of March 31 through April 30, Hurricane Ridge Road may open or close depending on road conditions, weather, and staffing. Check back here or call 360-565-3131 for updates.",2025-03-31 18:38:41.0,
Olympic,olym,Hoh Rain Forest area will reopen when county road is repaired - 3/13/25,Park Closure,"Olympic National Park will begin restoring essential services to the Hoh Rain Forest once the Upper Hoh Road, which is maintained by Jefferson County, is safe for travel. Until then, the area is closed to all traffic, including pedestrians & bicycles.",2025-03-13 16:56:31.0,https://www.nps.gov/olym/planyourvisit/current-road-conditions.htm
Pinnacles,pinn,"Fire Restrictions Lifted, in place Moderate Fire Danger, Beginning November 25",Information,Wood and charcoal fires permitted. Please monitor this website and the park social media pages for the most up to date information as conditions can change rapidly.,2024-11-25 14:08:35.0,
Pinnacles,pinn,Seasonal Closures In Effect,Information,Seasonal closures are in effect to protect nesting birds of prey on cliffs and rock formations in the park. Please refer to closure lists in park brochures and on the raptor advisory page for more information.,2024-01-16 12:45:53.0,
Pinnacles,pinn,High Crowds & Park Capacity,Information,"High visitation may require limiting access to Bear Gulch and other parking areas in the park. If all parking lots reach capacity, incoming traffic will not pass the campground until space is available. This occurs most often between 8a and 3p on weekends",2022-01-19 14:37:31.0,https://www.nps.gov/pinn/planyourvisit/hours.htm
Redwood,redw,Hike and Bike Day: Newton B. Drury Scenic Parkway,Information,The 1st Saturday of each month October through May the Newton B. Drury Scenic Parkway will be closed to vehicle traffic to allow for a hike and bike day. This is a great opportunity to walk your pets through the redwoods along this scenic road.,2025-03-02 13:58:29.0,
Rocky Mountain,romo,Trail Ridge Road is Closed to Through Travel for the Season,Park Closure,Trail Ridge Road (U.S. Hwy 34) is closed to vehicles to through travel for the season. Trail Ridge Road is closed on the east side of the park at Many Parks Curve and on the west side of the park at Colorado River Trailhead.,2024-11-02 11:51:12.0,
Rocky Mountain,romo,Transponder Sales Are Not Currently Available,Park Closure,"Due to technical issues, transponder sales are not currently available. We apologize for any inconvenience.",2024-07-01 15:54:31.0,
Saguaro,sagu,"Busy Season, parking may be limited.",Caution,"Saguaro NP is in its busy season for the year. This means increased visitation and more limited parking. The visitor center, trails, and picnic area parking lots will fill up fast. Plan ahead and have a backup trail in case a given parking lot is full.",2025-03-19 14:10:28.0,
Saguaro,sagu,Mica View Trail work,Caution,"Resurfacing of Mica View Trail has been postponed due to material delays. This project is a high priority & we will resume work as soon as we are able. The trail will remain open as we wait, though surfacing work has already begun. Proceed with caution.",2025-03-04 11:15:02.0,
Saguaro,sagu,Vehicle Break-Ins,Information,"Saguaro National Park is an urban park. Vehicle break-ins have occurred at trailheads around the park. Don't make yourself a target. Leave valuables at home, secure your vehicle, and report any suspicious activity.",2025-03-04 11:12:17.0,
Saguaro,sagu,Rideshare services should be used with caution if visiting the Tucson Mountain District,Information,"Rideshare services will drop visitors off at the park, but usually will not pick them back up. To avoid being stranded in the park, coordinate two-way trips before using rideshares to visit the West side. No major trails start at the visitor center.",2023-07-20 12:03:13.0,
Sequoia,seki,Several Small Roads Closed Due to Roadway Damage Or Snow Accumulation,Park Closure,"These roads are closed due to roadway damage during past storm events or due to snow accumulation: Crystal Cave Rd, Middle Fork Rd, Redwood Canyon Rd, South Fork Rd, Panoramic Point Rd, lower parking lot at Giant Forest Museum",2025-03-28 16:32:19.0,https://www.nps.gov/seki/planyourvisit/road-conditions.htm
Sequoia,seki,Crescent Meadow Road and Moro Rock Loop Road Closed For the Season,Park Closure,"The roads are closed to vehicle traffic for the winter season, but will remain open to winter recreation such as hiking, snowshoeing, and cross-country skiing. Roads will reopen once they have been cleared and made safe for vehicles.",2025-03-27 19:41:24.0,
Sequoia,seki,Kings Canyon Visitor Center in Grant Grove Is Closed On Tuesdays Until Further Notice,Park Closure,We regret any inconvenience.,2025-03-27 17:29:54.0,https://www.nps.gov/seki/planyourvisit/visitorcenters.htm
Sequoia,seki,Highway 180 Access To Cedar Grove Area of Kings Canyon National Park Closed For the Season,Park Closure,Highway 180 is closed east of Hume Lake Road for the winter season. Cedar Grove is not accessible. This section of road typically reopens in late April.,2024-11-12 14:39:34.0,
Sequoia,seki,Mineral King Road Is Closed For the Season,Park Closure,"The portion of Mineral King Road inside Sequoia National Park is closed for the winter season to the general public. The road typically reopens in May on the Wednesday before Memorial Day, but could be later depending on conditions.",2024-10-31 14:06:50.0,
Sequoia,seki,Tire Chain Restrictions in Effect,Caution,"Chain restrictions are in effect on some park roads. All vehicles must carry chains or cables, including 4WD and AWD vehicles. Install chains when required. For current road information, call (559) 565-3341, (press 1, then 1)",2024-04-04 11:39:42.0,https://www.nps.gov/seki/planyourvisit/winter_driving.htm
Shenandoah,shen,Trail Closure at Rockfish Gap (Mile 105),Caution,Appalachian Trail access is closed between Rockfish Gap at mile 105 of Skyline Drive to Humpback Rock in Blue Ridge Parkway due to wildfire,2025-03-28 15:33:22.0,
Shenandoah,shen,Enter the Park with a full tank of gas!,Caution,"While gas is available at Big Meadows Wayside (mile 51), supply is often limited, and visitors should fill up their tanks before entering the Park.",2025-03-23 11:46:25.0,
Shenandoah,shen,Get Skyline Drive Status Updates,Information,"Sign up for Shenandoah Alerts by texting SHENALERTS to 888777. Any time there are closures, re-openings, or other important safety-related alerts, subscribers will receive a notification via text. You may unsubscribe at any time.",2025-03-11 16:04:14.0,
Shenandoah,shen,Expect Trail Repair Delays,Caution,Be aware of delays and hazards on trails as crews remove downed trees and repair trails from the winter storm events.,2025-03-11 15:59:42.0,
Shenandoah,shen,Skyline Drive Status,Information,Click for more information.,2025-03-10 09:24:17.0,https://www.nps.gov/shen/skyline-drive-status.htm
Shenandoah,shen,Potential delays during stone wall rehabilitation project,Caution,"The stone wall that lines Skyline Drive is being rehabilitated between miles 72.8 and 75.7. There will be a single lane closure for the duration of this work, with an established work zone that will be managed by flaggers. Visitors should expect delays.",2024-11-13 08:27:45.0,
Shenandoah,shen,Ticket Required to Hike Old Rag,Information,March 1 - November 30 those wishing to hike Old Rag are required to obtain a day-use ticket before arriving.,2024-01-17 13:20:06.0,https://www.nps.gov/shen/planyourvisit/faqs-oldrag.htm
White Sands,whsa,Backcountry Camping Closed,Information,Backcountry camping at the park is closed. There is no established opening date at this time.,2024-08-22 17:51:35.0,
White Sands,whsa,Interdune Boardwalk Closed,Information,"Due to the active safety corridor, the Interdune Boardwalk is closed. Please visit the park visitor center to learn about other options during your visit.",2024-07-26 16:59:04.0,
White Sands,whsa,Dunes Drive Safety Corridor,Park Closure,Dunes Drive is open. A safety corridor is in effect between mile marker 3 and 5.5 along Dunes Drive. Visitors may drive but not stop or exit their vehicle in this area.,2024-07-26 16:58:26.0,https://www.nps.gov/whsa/planyourvisit/safety-corridor-in-effect.htm
White Sands,whsa,Park Closures,Information,From time to time the missile range that surrounds the park performs military testing that may require the closure of the park or Highway 70. Please plan your visit around upcoming military tests.,2024-01-02 13:34:42.0,https://www.nps.gov/whsa/planyourvisit/park-closures.htm
White Sands,whsa,RV and Tractor Trailer Parking at the Visitor Center,Information,There is limited space for parking for recreational vehicles and trailers in the parking lot directly in front (south) of the visitor center. RVs are asked to not park in the lot behind the visitor center. There is no parking space for tractor trailers.,2019-02-05 14:36:01.0,
Wind Cave,wica,Wind Cave Open for Cave Tours,Information,Wind Cave is now open for cave tours. Tickets can be purchased online at least 3 days in advance at recreation.gov or can be purchased in-person the day of. Tour times include the Garden of Eden at 10:00 AM and the Fairgrounds at 1:00 PM.,2025-02-14 10:31:21.0,
Wind Cave,wica,Centennial Trailhead Parking,Information,Reminder: Overnight parking without a camping permit is prohibited. Permits are not issued specifically for parking. Shuttles are available in the Black Hills for through hikers on the Centennial Trail.,2024-07-31 12:39:04.0,
Wind Cave,wica,Wind Cave moves to cashless fee collection,Information,"Payments for cave tours, campground fees, as well as Interagency Passes at Wind Cave National Park, will be by credit/ debit cards or digital payments only. Cash and check payments will no longer be accepted.",2023-02-10 17:18:28.0,
Wrangell–St. Elias,wrst,Park contact stations (visitor centers and ranger stations) closed in winter October thru April.,Information,"The national park and preserve public lands are open year-round, with limited access in winter. Visitor centers are open in summer but closed in Fall-Winter-Spring. Call (907) 822-7250 or email wrst_info@nps.gov for park information.",2024-05-07 02:20:21.0,
Yellowstone,yell,Most Park Roads Closed to All Vehicles,Park Closure,Spring plowing has begun and most roads are closed to all vehicles until mid-April. The road between the North and Northeast entrances remains open and is open year-round to regular vehicles.,2025-03-14 18:18:39.0,https://www.nps.gov/yell/planyourvisit/parkroads.htm
Yellowstone,yell,Bears Coming Out of Hibernation,Caution,Bears are coming out of hibernation this time of year and may be spotted while out in the park. Several Bear Management Areas are also now in effect. It's important to be bear aware: carry bear spray and know how to use it!,2025-03-12 13:33:28.0,https://www.nps.gov/yell/planyourvisit/safety.htm
Yellowstone,yell,Biscuit Basin Closed Due to Hydrothermal Explosion,Park Closure,"The parking lot and boardwalk at Biscuit Basin, located north of Old Faithful, is closed until further notice due to the possibility of another event at the site of a hydrothermal explosion that occurred July 23, 2024.",2025-03-12 13:32:14.0,https://www.nps.gov/yell/learn/news/240723.htm
Yellowstone,yell,Vehicle entrance reservation not needed,Information,"Although an entrance pass is required to enter Yellowstone National Park, vehicle reservations are not needed. You are encouraged to purchase an entrance pass before arriving, but you may also purchase passes at any entrance station upon arrival.",2024-08-14 17:15:53.0,https://www.nps.gov/yell/planyourvisit/fees.htm
Yosemite,yose,Tioga Road (Highway 120 through the park) and Glacier Point Road are closed for the winter,Park Closure,"Tioga Road (continuation of Highway 120 through the park) and Glacier Point Road are closed for the season due to snow. They usually open around late May or June. Call 209/372-0200 (then 1, 1) for road conditions and tire chain requirements.",2024-12-01 04:24:17.0,https://www.nps.gov/yose/planyourvisit/wroads.htm
Zion,zion,Seasonal Road Closure - Kolob Terrace Road past Maloney Hill,Park Closure,Kolob Terrace Road closed to non-tracked vehicles past Maloney Hill (14 miles north of SR-9) due to snow and ice.,2025-03-01 10:20:00.0,
Zion,zion,Closed trail bridge at Zion Lodge (Shuttle Stop #5),Park Closure,"To access Emerald Pools, start your hike at the Grotto (Shuttle Stop #6). This does not affect other trailheads or the Zion Canyon Shuttle System.",2025-02-04 15:07:09.0,https://www.nps.gov/zion/learn/news/trail-bridge-closed-near-zion-lodge-in-zion-national-park.htm
Zion,zion,Road to Lava Point and West Rim Trailhead closed,Park Closure,"This is a regular, seasonal closure, and we will remove this alert when snow melts. Lava Point Overlook is also closed.",2024-12-06 14:24:59.0,
Zion,zion,"Weeping Rock Shuttle Bus Stop, Parking Area, and Trail Closed",Park Closure,"Due to rockfall, the area near Weeping Rock is temporarily closed. Park scientists and maintenance staff are monitoring the area.",2023-11-20 18:25:38.0,https://www.nps.gov/zion/learn/news/rockfall-near-weeping-rock-temporarily-stops-traffic-on-zion-canyon-scenic-drive.htm
Zion,zion,Toxic Cyanobacteria in the Virgin River and the streams of Zion National Park,Caution,Do not submerge your head in or filter drinking water from still or moving water.,2023-03-15 20:31:23.0,https://www.nps.gov/zion/planyourvisit/toxic-cyanobacteria-bloom-in-the-virgin-river-and-the-streams-of-zion-national-park.htm
Zion,zion,Angels Landing Pilot Permit Program,Information,Everyone who hikes Angels Landing needs to have a permit. Learn why you need a permit and how to get one. This requirement does not affect entering the park or riding the park shuttle (when it is running).,2023-02-18 12:39:08.0,https://www.nps.gov/zion/planyourvisit/angels-landing-hiking-permits.htm
Zion,zion,Please park legally and responsibly in Zion National Park and the Town of Springdale,Information,"Zion has limited parking space. Park only in designated stalls. Vehicles parked outside of designated stalls are subject to citation and may be towed. Once all designated parking stalls in Zion are full, visitors should park in Springdale.",2018-05-18 14:28:24.0,https://www.nps.gov/zion/planyourvisit/index.htm
